startup_name,startup_amount_invested,startup_article_publication_date,startup_more_inf_url,startup_levée_de_fonds,startup_founders,startup_Number_of_employees,startup_web_site_url,startup_linkedin_url,startup_facebook_url,startup_instagram_url,startup_phone,startup_email,startup_phrasechoc
Le Son du coin,1000€,12/02/2013,https://www.jaimelesstartups.fr/le-son-du-coin/,Levée de fonds : 1000€,Fondateurs : Cyril Vermandé,Nombre d'employés : 1,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Le%20Son%20du%20coin,,https://www.facebook.com/sonducoin,,,,"Le Son du coin est un site web gratuit d’écoute de musique dédié à la scène locale, où il est possible de retrouver des groupes de sa ville ou de sa région."
Lemon Curve,1M€,08/03/2013,https://www.jaimelesstartups.fr/lemon-curve/,Levée de fonds : 1M€,Fondateurs : Agathe Molinar & Julien Sylvain,Nombre d'employés : 15,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Lemon%20Curve,http://www.linkedin.com/company/2977017?trk=tyah,https://www.facebook.com/LemonCurve,,,,Lemon Curve est le site n°1 de vente de lingerie en France.
SportEasy,Joker !,03/06/2013,https://www.jaimelesstartups.fr/sporteasy/,Levée de fonds : Joker !,"Fondateurs : Albin EGASSE, Nizar MELKI, Charles VALLANTIN DULAC","Nombre d'employés : 3 associés, 1 employé, 1 stagiaire",https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=SportEasy,http://www.linkedin.com/company/1442174?trk=tyah,https://www.facebook.com/sporteasy.net,,,,"DEVANT VOTRE ÉCRAN OU QUAND ON MOUILLE LE MAILLOT, LE SPORT NOUS FAIT VIVRE DE GRANDES ET BELLES ÉMOTIONS. MAIS QUAND IL S’AGIT D’ORGANISER LA VIE D’UNE ÉQUIPE C’EST UNE AUTRE HISTOIRE ! COACHS AVERTIS ET ENTREPRENEURS PRÊT À DESCENDRE SUR LE TERRAIN, ALBIN, NIZAR ET CHARLES ONT CRÉE SPORTEASY POUR FACILITER LA VIE DE TOUS LES PASSIONNÉS DE SPORT COLLECTIF! UNE APPLI QUE MÊME LE QATAR NOUS ENVIE !"
Lengow,1.2 M,15/10/2012,https://www.jaimelesstartups.fr/lengow-catalogue-distribution-de-catalogue-produit-ecommerce/,Levée de fonds : 1.2 M,Fondateurs : Mickael Froger et Jérémie Peiro,,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Lengow,,,,,,"Créée en 2009 par Jérémie Peiro et Mickael Froger, Lengow est une solution innovante qui permet aux e-commerçants de diffuser simplement et rapidement leurs catalogues produits sur l’ensemble des supports de diffusion, aussi bien sur les comparateurs de prix, affiliation, places de marché, retargeting, liens sponsorisés ou réseaux sociaux."
Evoliz,350 000 euros,07/06/2012,https://www.jaimelesstartups.fr/evoliz-auto-entrepreneur-entreprise-facturation/,Levée de fonds : 350 000 euros,"Fondateurs : François Aupetit, Jean-Philippe Duquerroy, Olivier Gasquet",Nombre d'employés : 10,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Evoliz,https://www.linkedin.com/company/evoliz/,https://www.facebook.com/evolizfr/,https://www.instagram.com/evolizfr/,,,"NOUVEAUX STATUTS, NOUVELLES DEMANDES, NOUVELLES TECHNOLOGIES ET DONC NOUVEAUX BUSINESS ! A L’ÉCOUTE DE LEUR ÉCOSYSTÈME, FRANÇOIS, JEAN-PHILIPPE ET OLIVIER SE SONT ATTELÉS À RÉPONDRE AU PRINCIPAL BESOIN DES NOUVEAUX ENTREPRENEURS : DÉVELOPPER LEUR ACTIVITÉ SANS PERDRE DU TEMPS EN FORMALITÉS. EVOLIZ PROPOSE DONC LA GESTION COMMERCIALE ET ADMINISTRATIVE ENTIÈREMENT EN LIGNE. SIMPLE, ÉCONOMIQUE ET EFFICACE : 3 ARGUMENTS QUI PLAIRONT À TOUS LES CRÉATEURS D’ENTREPRISE. EN LEVANT 350 000€, LE PROJET A DÉJÀ CONVAINCU LES INVESTISSEURS !"
Lingueo,NC,20/06/2013,https://www.jaimelesstartups.fr/lingueo/,Levée de fonds : NC,Fondateurs : Arnaud Portanelli & Guillaume le Dieu de Ville,Nombre d'employés : 10+,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Lingueo,http://www.linkedin.com/company/lingueo,https://www.facebook.com/Lingueo,,,,"PENDANT QUE CERTAINS CONTINUENT À CROIRE QUE L’ON PEUT APPRENDRE UNE LANGUE DANS UN LIVRE OU EN RÉPONDANT À UN QCM, D’AUTRES ONT BIEN COMPRIS L’INTÉRÊT DE LIER VIE RÉELLE OU NOUVELLES TECHNOLOGIES. CRÉATEURS DE LINGUEO, ARNAUD ET GUILLAUME ONT SU CONQUÉRIR ET TROUVER LEUR PLACE SUR UN MARCHÉ QUI NE DEMANDAIT QU’À BOUGER. LEURS ATOUTS: DES WEBCAMS ET DES ENSEIGNANTS QUALIFIÉS QUI FONT VIVRE LE TOUT. EN ATTENDANT LE DÉVELOPPEMENT À L’INTERNATIONALE !"
BUGZERO by Helperiance,En cours d'étude,31/10/2012,https://www.jaimelesstartups.fr/bugzero-by-helperiance-depannage-informatique-nice/,Levée de fonds : En cours d'étude,Fondateurs : CHAUVET Johan,Nombre d'employés : 1,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=BUGZERO%20by%20Helperiance,,,,,,"Un service d'assistance informatique, uniquement à distance."
Borderline,600 000€,20/03/2013,https://www.jaimelesstartups.fr/bordeline/,Levée de fonds : 600 000€,"Fondateurs : Sébastien Specht, Grégoire Le Chanu De Beaupuy, Quentin Fechter, Charles-Henri Aulagner",Nombre d'employés : 3,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Borderline,,https://www.facebook.com/fbBORDERLINE,,,,"AVEC BORDERLINE, SÉBASTIEN, GRÉGOIRE, QUENTIN ET CHARLES-HENRI N’ONT PAS FROID AUX YEUX. ET POUR CAUSE, ILS ONT DU PRENDRE UNE BONNE DOSE DE VITAMINES QUE L’ON RETROUVE DANS LEURS JUS DE FRUITS ! POUR S’ATTAQUER À UN MARCHÉ SATURÉ, SUR DES RÉSEAUX ÉLITISTES ET FACE À DES CONSOMMATEURS EXIGEANTS, IL FAUT ÊTRE PRÊT À EN DÉCOUDRE. CA TOMBE BIEN, CES CRÉATEURS D’UNIVERS SONT PRÊTS À DÉPASSER LEURS LIMITES."
TextMaster,1.64 Millions €,07/02/2013,https://www.jaimelesstartups.fr/textmaster/,Levée de fonds : 1.64 Millions €,"Fondateurs : Benoit Laurent, Alexandre Ponsin, Thibaud Elzière et Quentin Nickmans",Nombre d'employés : 23,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=TextMaster,,https://www.facebook.com/textmaster,,,,"ECRIRE, PRODUIRE, TRADUIRE, DIFFUSER : LA GESTION DES CONTENUS EST DEVENU UN AXE MAJEUR DE LA COMMUNICATION DE TOUTES LES ENTREPRISES QUI VEULENT ASSURER LEUR PRÉSENCE SUR LE WEB.
BENOIT, ALEXANDRE, THIBAUD ET QUENTIN, ENTREPRENEURS EXPÉRIMENTÉS ET CRÉATEURS DE TEXTMASTER, ONT SU CONVAINCRE CLIENTS ET INVESTISSEURS ET PEUVENT PRÉPARER TRANQUILLEMENT L’OUVERTURE DE LEUR BUREAU NEW-YORKAIS."
MadMagz,240 000,22/10/2012,https://www.jaimelesstartups.fr/madmagz-creer-un-magazine-faire-son-magazine/,Levée de fonds : 240 000,Fondateurs : Youssef Rahoui,Nombre d'employés : 4,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=MadMagz,,,,,,"Madmagz est un site Internet qui permet de créer, de publier et de vendre son magazine numérique ou papier."
Monsieurtshirt,Fonds propres,23/09/2013,https://www.jaimelesstartups.fr/monsieurtshirt/,Levée de fonds : Fonds propres,Fondateurs : Arnaud Péré,Nombre d'employés : 5,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Monsieurtshirt,http://fr.linkedin.com/pub/arnaud-p%C3%A9r%C3%A9/26/332/3b4,https://www.facebook.com/monsieurtshirtstore,,,,"SEMAINE DE LA MODE OBLIGE, J’AIME LES STARTUP LÂCHE LA TECHNOLOGIE ET VOUS PROPOSE DES JEUNES ENTREPRISES QUI ALLIENT LE WEB ET LA MODE, ET C’EST MONSIEUR T-SHIRT QUI OUVRE LE BAL : SI VOUS FAITES ATTENTION À VOTRE APPARENCE ET SURTOUT À VOTRE ORIGINALITÉ, QUE VOUS VOULEZ ÊTRE À LA FOIS JEUNE ET BIGARRÉ, MONSIEURTSHIRT VOUS PROPOSE TOUT UNE COLLECTION DE T-SHIRT, SWEAT QUI VONT VOUS RAVIR !"
Simplon co,0 / fonds propres,29/08/2013,https://www.jaimelesstartups.fr/simplon-co/,Levée de fonds : 0 / fonds propres,"Fondateurs : Andrei, Erwan, Fred et Victor",Nombre d'employés : 4 (fondateurs) + 24 en septembre (recrues),https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Simplon%20co,,https://www.facebook.com/Simplon.co,,,,"AVEC UNE IDÉE EN TÊTE, ET LE SOUTIEN D’UN ENTREPRENEUR CHEVRONNÉ, ANDREI, ERWAN ET VICTOR RÉALISENT LEUR RÊVE : DÉVELOPPER LES DÉVELOPPEURS ! A L’HEURE OÙ TOUT LE BEAU MONDE SE MOBILISE POUR RELANCER LA FORMATION INFORMATIQUE DE GÉNÉRATIONS À VENIR À COUPS DE PROGRAMMES MASTODONTES, SIMPLON CO LA JOUE SIMPLE ET EFFICACE EN S’IMPLIQUANT LÀ OÙ PERSONNE N’AURAIT IMAGINÉ CRÉER UNE “FABRIQUE DE DÉVELOPPEURS – ENTREPRENEURS” : AU CŒUR DE MONTREUIL (ET PAS BIEN LOIN DE LA RÉDACTION DE VOS SERVITEURS…;). OUVERT À TOUTES ET À TOUS, CRÉÉ POUR TOUS LES PASSIONNÉ-E-S, EN COURS, PASSÉS ET À VENIR QUI VEULENT SE LANCER DANS L’AVENTURE DE L’ENTREPRENEURIAT ARMÉ COMME UN DÉVELOPPEUR."
Privateaser,300 000 euros,24/06/2015,https://www.jaimelesstartups.fr/privateaser/,Levée de fonds : 300 000 euros,"Fondateurs : Nicolas Furlani, Raphaël Kolm, Alexandre Paepegaey",Nombre d'employés : 12,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Privateaser,https://www.linkedin.com/company/privateaser,https://www.facebook.com/privateaser,,,,"LA SAISON S’Y PRÊTE ET COMME TOUTES LES TERRASSES SONT TOUTES PRISES D’ASSAULT DÈS 17H, SI ON VEUT ORGANISER UNE PETITE SOIRÉE DANS UN BAR, IL SUFFIT DE FAIRE APPEL À PRIVATEASER :"
Timbreos,Non communiqué,07/10/2013,https://www.jaimelesstartups.fr/timbreos/,Levée de fonds : Non communiqué,Fondateurs : Quentin LAURENT,Nombre d'employés : 0(1),https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Timbreos,http://www.linkedin.com/company/timbreos,https://www.facebook.com/TimbreosCartePostale,,,,"DU CLIC À LA CARTE, IL N’EN FALLAIT PAS PLUS À QUENTIN POUR SE LANCER DANS L’AVENTURE AVANT MÊME D’ÊTRE DIPLÔMÉ. AVEC TIMBREOS, IL MÊLE WEB, MOBILE ET PAPIER, ET NOUS FAIT RETROUVER LE CHEMIN DE LA POSTE AVEC LE PLAISIR DE RECEVOIR UNE CARTE PERSONNALISÉE."
Des Bras en plus,non,24/06/2013,https://www.jaimelesstartups.fr/des-bras-en-plus/,Levée de fonds : non,"Fondateurs : Massoud Ayati, Farid Lahlou et Zafar Baryali",Nombre d'employés : 22,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Des%20Bras%20en%20plus,https://www.linkedin.com/company/des-bras-en-plus/,https://www.facebook.com/desbrasenplus,https://www.instagram.com/desbrasenplus/,,,"SI L’ÉTÉ TARDE À VENIR, LA SAISON DES DÉMÉNAGEMENTS EST QUANT À ELLE BIEN ENTAMÉE. L’ÉQUIPE DE J’AIME LES STARTUPS PEUT EN TÉMOIGNER ! PROFESSIONNELS AGUERRIS ET ENTREPRENEURS INNOVANTS, MASSOUD, FARID ET ZAFAR BOUSCULE LES CODES ET CRÉENT “DES BRAS EN PLUS”.
LE DÉMÉNAGEMENT QUI MÊLE LE PARTICIPATIF ET LA PRESTATION BIEN PHYSIQUE."
Treez,300k€,24/09/2013,https://www.jaimelesstartups.fr/treez/,Levée de fonds : 300k€,Fondateurs : Alexis Kryceve,,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Treez,,https://www.facebook.com/ceciestunarbre,,,,"SI VOUS SOIGNEZ VOTRE STYLE AUTANT QUE NOTRE CHÈRE PLANÈTE BLEUE, ALEXIS A UN COMPROMIS QUI VA VOUS SÉDUIRE : POUR TOUS BRACELET ACHETÉ, UN ARBRE EST PLANTÉ. QUAND ON VOUS DIT QUE LES IDÉES LES PLUS SIMPLES SONT SOUVENT LES MEILLEURES …"
FretBay,431000,30/09/2013,https://www.jaimelesstartups.fr/fretbay/,Levée de fonds : 431000,Fondateurs : Areeba REHMAN,Nombre d'employés : 7,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=FretBay,,https://www.facebook.com/fan.fretbay,,,,"VENDRE EN LIGNE SANS BOUGER DE CHEZ SOI N’EST PLUS UN RÊVE DEPUIS LONGTEMPS. MAIS TANT QUE L’ON ARRIVERA PAS À METTRE SA MACHINE À LAVER EN PIÈCE JOINTE, LES CAMIONS AURONT DE BEAUX JOURS DEVANT EUX. ET LES FRAIS DE PORT QUI VONT AVEC… C’EST – ENTRE AUTRE – POUR ÉVITER L’ENNUI D’UNE REMORQUE VIDE À DES CAMIONS FORTEMENT SOLLICITÉ QU’AREEBA A FONDÉ FRETBAY, PLATEFORME DE TRANSPORTS GROUPÉS QUI ASSOCIE RÉDUCTION DE COÛTS ET ÉCOLOGIE."
Clever Cloud,Confidentielle,09/10/2013,https://www.jaimelesstartups.fr/clever-cloud/,Levée de fonds : Confidentielle,"Fondateurs : Quentin ADAM, Kévin DECHERF",Nombre d'employés : 9,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Clever%20Cloud,http://www.linkedin.com/company/1202148,https://facebook.com/clevercloudsas,,,,"UN SERVEUR À VOTRE SERVICE PLUTÔT QUE DE VOUS ASSERVIR : LE RÊVE DE QUENTIN ET KEVIN EST DEVENU UNE RÉALITÉ AVEC CLEVER CLOUD. A L’HEURE DES TÉLÉPHONES “INTELLIGENTS”, IL ÉTAIT TEMPS QUE LES INFRASTRUCTURES DEVIENNENT FUTÉES. C’EST ÉGALEMENT CE QUE SE SONT DIT LES INVESTISSEURS DE KIMA VENTURES QUI ONT DÉJÀ ACCORDÉ – AVEC D’AUTRES – LEUR CONFIANCE À NOS DEUX JEUNES ENTREPRENEURS DÉVELOPPEURS ET À LEUR ÉQUIPE."
Fabrica de Startups,-,22/06/2015,https://www.jaimelesstartups.fr/news/fabrica-de-startups/,Levée de fonds : -,Fondateurs : Antonio Lucena de Faria/Karina Martins da Costa,Nombre d'employés : <10,http://startupdiscoveries.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/2675826?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-2%2CtarId%3A1434966457651%2Ctas%3Afabrica%20de%20startups,https://www.facebook.com/FabricaDeStartups?fref=ts,,,,4 SEMAINES D'ACCÉLÉRATION À LISBONNE POUR LES TECH-TOURISM STARTUPS!
YouLoveWords,400.000 euros,20/06/2013,https://www.jaimelesstartups.fr/youlovewords/,Levée de fonds : 400.000 euros,"Fondateurs : Nicolaidis Grégory, Alain Rodermann",Nombre d'employés : 7,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=YouLoveWords,http://www.linkedin.com/in/gregnicolaidis,https://www.facebook.com/youlovewords,,,,"‘CONTENT IS KING’, CE SLOGAN, ON L’ENTEND DEPUIS LONGTEMPS DÈS QU’IL S’AGIT DE WEBMARKETING. MAIS C’EST COMME TOUT, C’EST UN MÉTIER MA BONNE DAME ! TOUT LE MONDE NE S’IMPROVISE PAS ‘COPYWRITER’ DU JOUR AU LENDEMAIN.
ET COMME CRÉER DU CONTENU DE QUALITÉ, ÇA PREND DU TEMPS, (ET QUE LE TEMPS C’EST DE L’ARGENT…) NICOLAIDIS ET ALAIN ONT MIS EN PLACE UNE COMMUNAUTÉ DE RÉDACTEURS POUR PRENDRE EN CHARGE VOS BESOINS !"
DRESSWING,200 000,28/09/2015,https://www.jaimelesstartups.fr/dresswing/,Levée de fonds : 200 000,Fondateurs : 2,,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=DRESSWING,,https://www.facebook.com/dresswing,,,,"L’ÉCONOMIE PARTICIPATIVE N’A PAS FINI DE FAIRE PARLER D’ELLE. VOICI QU’ELLE S’ATTAQUE DÉSORMAIS AUX FRINGUES HAUT DE GAMME. ON LE SAIT TOUS, LES NANAS AIMENT LES GRANDES MARQUES DE LUXE MÊME SI LEUR PRODUITS SONT HORS DE PRIX. C’EST SUR CE CONSTAT (ET AUSSI PAR GOÛT POUR LES DITES FRINGUES) QUE DELPHINA A LANCÉ DRESSWING :"
Eurecab,100 000,19/08/2015,https://www.jaimelesstartups.fr/eurecab/,Levée de fonds : 100 000,"Fondateurs : Théodore Monzies, Cédric Van Daele",Nombre d'employés : 4,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Eurecab,,https://www.facebook.com/pages/Eurecab/1548199798732847,,,,"ALORS QUE LA COHABITATION DIFICILE ENTRE TAXI ET VTC COMMENCE OFFICIELEMENT, VOICI QUE THÉODORE ET CEDRIC VOUS PROPOSENT DE COMPARER DIRECTEMENT TOUS LES SERVICE EN PLACE AFIN DE SÉLECTIONNER CELUI QUI VOUS CONVIENT LE MIEUX POUR VOTRE TRAJET… ENFIN LE MOINS CHER SURTOUT :)"
Uppler,En cours,18/08/2015,https://www.jaimelesstartups.fr/uppler/,Levée de fonds : En cours,"Fondateurs : Tal Levy, Grégoire Chauvin, Emilien Bouard",Nombre d'employés : 10,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Uppler,https://www.linkedin.com/company/uppler,https://www.facebook.com/upplernetwork,,,,"DANS LE GENRE IDÉE GÉNIALE, JE VOUDRAIS LE RÉSEAU SOCIAL POUR LA DISRTIBUTION B2B. BONNE PIOCHE ! VOUS RÉPONDRONS TAL, GRÉGOIRE ET EMILIEN. SI VOUS GÉREZ UNE BOUTIQUE, VOUS POUVEZ SUIVRE LES FOURNISSEURS QUI VOUS PLAISENT. C’EST L’OUTIL DE COMMUNICATION PARFAIT POUR UN MARCHÉ PAREIL ET LE BUSINESS MODEL EST BIEN VU !"
Poulayot Studios,,03/08/2015,https://www.jaimelesstartups.fr/poulayot-studios/,,Fondateurs : Sabattier Franck,,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Poulayot%20Studios,https://www.linkedin.com/in/franck-sabattier/,,,,,"Poulayot Studios crée des vidéos pédagogiques et simplifie votre message, de manière ludique, dans un style dessin animé."
Le Jeune Conducteur,25000,04/08/2015,https://www.jaimelesstartups.fr/le-jeune-conducteur/,Levée de fonds : 25000,Fondateurs : Thomas Olifirenkoff,Nombre d'employés : 3,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Le%20Jeune%20Conducteur,,https://www.facebook.com/jeune.conducteur,,,,"DANS LA VIE D’UN(E) FRANÇAIS(E), IL Y A DES ÉTAPES QUI SONT SOURCE D’UN GRAND BONHEUR, LA PERMIS DE CONDUIRE, LA PREMIÈRE PROPRIÉTÉ ETC ETC ET C’EST AUSSI SYNONYME DE CONTRAT D’ASSURANCE OBLIGATOIRE… THOMAS, A DÉCIDÉ DE CRÉER UN COMPARATEUR D’ASSURANCE SPÉCIALISÉ POUR LES JEUNES CONDUCTEURS :"
Valoro Path,75000 EUR,08/08/2015,https://www.jaimelesstartups.fr/news/valoro-path/,Levée de fonds : 75000 EUR,Fondateurs : 2,Nombre d'employés : 4,http://www.valoropath.com/?utm_source=JaimeLesStartups,,,,,,FIN DU BETA-TEST ET LANCEMENT OFFICIEL DE LA VERSION COMPLÈTE
Yeeply Mobile,320000€,15/09/2015,https://www.jaimelesstartups.fr/yeeply-mobile/,Levée de fonds : 320000€,Fondateurs : Luis Picurelli et Hector Badal,Nombre d'employés : 15,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Yeeply%20Mobile,https://www.linkedin.com/company/2722453?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A2722453%2Cidx%3A1-1-1%2CtarId%3A1441885166343%2Ctas%3Ayeepl,https://www.facebook.com/it.yeeply?fref=ts,,,,"YEEPLY C’EST UN COMME UN SITE DE RECONTRE SAUF QU’AU LIEU D’AVOIR DES GENS QUI SE RENCONTRENT POUR FAIRE DES BISOUS, C’EST DES GENS QUI SE RENCONTRENT POUR TRAVAILLER ENSEMBLE ET FAIRE DES APPLICATIONS MOBILES. D’UN CÔTÉ, IL Y A CEUX QUI ONT LES IDÉES, ET DE L’AUTRE, IL Y A CEUX QUI ONT LES COMPÉTENCES. BREF, UN JOYEUX MARIAGE QUI FERA PLEIN DE PETITS !"
Ouistock,600 000,12/10/2015,https://www.jaimelesstartups.fr/ouistock/,Levée de fonds : 600 000,Fondateurs : Simon Ryckembush & Neville Ricour,Nombre d'employés : 10,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Ouistock,https://www.linkedin.com/company/5157783?trk=prof-exp-company-name,https://www.facebook.com/Ouistock-613457182076549/timeline/,,,,"IL Y A BEAUCOUP DE MOUVEMENTS SUR LE MARCHÉ DU STOCKAGE. DEPUIS QUELQUES MOIS ON A VU APPARAÎTRE DE NOUVEAUX ACTEURS, PLUS NUMÉRIQUES ET AGILES QUE LEURS ANCÊTRES. MAIS VOICI QUE CE MARCHÉ SE FAIT DÉJÀ UBERISER PAR SIMON ET NEVILLE ! SI VOUS AVEZ DE L’ESPACE, LES AUTRES VIENNENT STOCKER CHEZ VOUS ET SI VOUS AVEZ BESOIN DE PLACE, VOUS STOCKEZ QUE LES GENS."
City-Drop,Non,22/07/2015,https://www.jaimelesstartups.fr/city-drop/,Levée de fonds : Non,Fondateurs : Félix Nguyen,Nombre d'employés : 2,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=City-Drop,,https://www.facebook.com/citydrop,,,,"LE YIELDING EST UNE DISCIPLINE TRÈS AMUSANTE MAIS AUSSI QUI PEUT SE REVELLER TRÈS COMPLEXE. L’OBJECTIF DU YIELDING EST D’ASSURER UN NOMBRE DE CLIENT. TYPIQUEMENT ON PARLE SOUVENT DU YIELDING DANS LES AVIONS CAR LA MÉTHODE DU SURBOOKING EST TRÈS SOUVENT UTILISÉE. POUR LA LÉGENDE, C’EST AINSI QUE SIR RICHARD BRANSON A CRÉÉ VIRGIN AMERICA : IL A APPRIS QUE CERTAINS AVIONS DÉCOLLAIENT À VIDE APRÈS UN PREMIER VOL. ET BIEN LES AMIS, CITY-DROP, C’EST LE VIRGIN AMERICA DE LA LOCATIONS DE VOITURE ! RIEN QUE ÇA :)"
Luckyfind,non effectuée,08/09/2015,https://www.jaimelesstartups.fr/luckyfind/,Levée de fonds : non effectuée,Fondateurs : Sarah Panza et Nabil El Mouden,Nombre d'employés : 2,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Luckyfind,,https://www.facebook.com/luckyfind2015,,,,"LE MARCHÉ DE L’OCCASION EST UN GROS SECTEUR D’INTERNET. IL Y A EU EBAY PUIS LE BON COIN EN FRANCE, CRAIG LIST AU USA, ET OLX DANS LE RESTE DU MONDE… TOUS ONT DES AVANTAGES ET DES INCONVÉNIENTS, CE SONT CES DERNIERS QUI JUSTIFIENT L’EXISTENCE DE PROJETS PLUS MODESTES (POUR L’INSTANT EN TOUT CAS…). VOICI LUCKYFIND, LA MARKETPLACE POUR VENDRE COMME SI ON AVAIT SA PROPRE BOUTIQUE EN LIGNE ET POUR ACHETER À PRIX CASSÉS !"
Popcarte,,01/02/2016,https://www.jaimelesstartups.fr/popcarte-2/,Levée de fonds :,Fondateurs : Benoit Martin,Nombre d'employés : 15,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Popcarte,,https://www.facebook.com/Popcarte,,,,"SI VOUS AVEZ UN MESSAGE À ADRESSER À VOS CLIENTS ET QUE VOUS SOUHAITEZ MARQUER LE COUP, VOUS POUVEZ ENVOYEZ UNE CARTE ! ET ÇA MARCHE AUSSI AVEC LES ÉVÈNEMENTS PERSO !"
AnimationEvenement com,Aucune,25/11/2015,https://www.jaimelesstartups.fr/news/animationevenement-com/,Levée de fonds : Aucune,Fondateurs : 1,,http://www.animationevenement.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/animationevenement-com,https://www.facebook.com/AnimationEvenement,,,,UN EX-PRÉSIDENT D'ASSOCIATION ÉTUDIANTE RENCONTRE UN PROBLÈME RÉCURRENT EN ORGANISANT DES SOIRÉES ET VOYAGES POUR LES ÉTUDIANTS DE SON ÉCOLE. IL CRÉE UN SITE QUI LE RÉSOUT ET VA CHANGER LA VIE DES ORGANISATEURS D'ÉVÉNEMENTS FRANÇAIS !
Beedeez,150 000€,20/10/2015,https://www.jaimelesstartups.fr/news/beedeez/,Levée de fonds : 150 000€,Fondateurs : 4,Nombre d'employés : 1,http://www.beedeez.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/beedeez?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A5345859%2Cidx%3A1-1-1%2CtarId%3A1445259535725%2Ctas%3Abeedeez,https://www.facebook.com/Beedeez-438777259591929/,,,,BEEDEEZ ANNONCE SA LEVÉE DE FOND ET INTÈGRE L'ACCÉLÉRATEUR.
Click & Boat,500 000,18/12/2015,https://www.jaimelesstartups.fr/news/click-boat/,Levée de fonds : 500 000,Fondateurs : Jérémy Bismuth et Edouard Gorioux,Nombre d'employés : 7,https://www.clickandboat.com/?utm_source=JaimeLesStartups,http://edouard%20gorioux/,https://www.facebook.com/clickandboat/,,,,"L'AIRBNB DU BATEAU, CLICK & BOAT LÈVE 500 000 EUROS"
Bruno matelas,/,06/11/2015,https://www.jaimelesstartups.fr/bruno-matelas/,Levée de fonds : /,Fondateurs : Felix Baer et Andreas Bauer,Nombre d'employés : 8,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Bruno%20matelas,,https://www.facebook.com/brunomatelas.fr,,,,"L’INNOVATION EST PARTOUT, TOUT COMME LA POÉSIE ! BRUNO NE DIRA PAS LE CONTRAIRE AVEC CES MATELAS SUPER HAUTE QUALITÉ ET SES RÉPONSES EN VERS !"
Alcrys,500 KE,05/12/2015,https://www.jaimelesstartups.fr/news/alcrys/,Levée de fonds : 500 KE,Fondateurs : Françoise Gori et Olivier Heyral,Nombre d'employés : 8,http://www.alcrys.net/?utm_source=JaimeLesStartups,,https://www.facebook.com/AlcrysFluidControl/?pnref=lhc,,,,ALCRYS RÉALISE UNE LEVÉE DE FONDS DE 500 KE
Upfluence,"$340,000",12/11/2015,https://www.jaimelesstartups.fr/upfluence/,"Levée de fonds : $340,000","Fondateurs : Kevin Creusy, Alexis Montagne, Yann Metz Pasquier, Thomas Mesnier, Vivien Garnès",Nombre d'employés : 18,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Upfluence,https://www.linkedin.com/company/upfluence,https://www.facebook.com/upfluence,,,,"POUR COMMUNIQUER SUR SON PRODUIT OU SERVICE, ON PEUT FAIRE DE LA PUB MAIS ON PEUT AUSSI FAIRE DE LA COM’ CIBLÉE AUPRÈS DE LEADER D’OPINION COMME DES BLOGGEURS. LE PROBLÈME EST QU’IL FAUT D’ABORD LES IDENTIFIER, PUIS LES CONTACTER, LES CONVAINCRE DE PARLER DE VOUS ETC ETC. L’ÉQUIPE D’UPFLENCE A MIS AU POINT UNE TECHNO QUI S’OCCUPE JUSTEMENT DE VOUS AIDER DANS TOUT ÇA :"
