startup_name,startup_amount_invested,startup_article_publication_date,startup_more_inf_url,startup_levée_de_fonds,startup_founders,startup_Number_of_employees,startup_web_site_url,startup_right_web_site_url,startup_valid_web_site_url,startup_linkedin_url,startup_facebook_url,startup_instagram_url,startup_phone,startup_email,startup_address,startup_phrasechoc
"Steerlab lève 1,7 millions € en pre-seed pour sa solution de réponse aux appels d’offres",1700000,05/09/2024,https://www.jaimelesstartups.fr/news/steerlab-leve-17-millions-e-en-pre-seed-pour-sa-solution-de-reponse-aux-appels-doffres/,Levée de fonds : 1700000,Fondateurs : Rami Iguerwane & Othmane Hamzaoui,,https://steerlab.ai/?utm_source=JaimeLesStartups,https://www.steerlab.ai/?utm_source=JaimeLesStartups,True,https://www.linkedin.com/company/steerlab,,,"['WhatsApp: +9876543210', '123-456-7890', '+1234567890', '456-789-0123', 'Fax: 789-012-3456']",[],"['Paris', '123 Main Street, City, Country', '456 Oak Avenue, Town, Country']","STEERLAB LÈVE 1,7 MILLION D’EUROS EN PRE-SEED POUR AIDER LES ÉQUIPES DE PRESALES À REMPORTER PLUS DE DEALS GRÂCE À L'IA"
Phacet annonce une levée de fonds de 4 millions € pour démocratiser l’IA dans les entreprises,4 000 000€,24/09/2024,https://www.jaimelesstartups.fr/news/phacet-annonce-une-levee-de-fonds-de-4-millions-e-pour-democratiser-lia-dans-les-entreprises/,Levée de fonds : 4 000 000€,"Fondateurs : Nicolas Marchais, William Pambrun, Christophe Lanternier",,https://www.phacetlabs.com/?utm_source=JaimeLesStartups,https://www.phacetlabs.com/?utm_source=JaimeLesStartups,True,https://www.linkedin.com/company/phacetlabs/,,,"['+1234567890', 'Fax: 987-654-3210', 'WhatsApp: +12378945612', '123-456-7890']",['team@phacetlabs.com'],"['123 Main Street, City, Country', '12 rue Rougemont, 75009 Paris']",PHACET LÈVE 4 MILLIONS D'EUROS POUR IMPLÉMENTER DES IAS SUR MESURE DANS LES PME ET ETI EUROPÉENNES
"Crée en 2018, devenu licorne en 2021, la startup SWILE annonce atteindre la rentabilité en 2024 :)",200 millions $,12/09/2024,https://www.jaimelesstartups.fr/news/cree-en-2018-licorne-en-2021-la-startup-swile-annonce-atteindre-la-rentabilite-en-2024/,Levée de fonds : 200 millions $,Fondateurs : Loïc Soubeyrand,Nombre d'employés : 422,https://www.swile.co/?utm_source=JaimeLesStartups,https://www.swile.co/en?utm_source=JaimeLesStartups,True,https://www.linkedin.com/company/swile,https://www.facebook.com/swileglobal/,https://www.instagram.com/swilefrance,[],[],[],"SWILE CONFIRME SON CHANGEMENT D’ÉCHELLE SUITE AU RACHAT DE BIMPLI FIN 2022, ET RENFORCE SA RENTABILITÉ AU S1 2024"
Siello annonce une levée de fonds de 500 000 euros,500 000 €,29/07/2024,https://www.jaimelesstartups.fr/news/siello-annonce-une-levee-de-fonds-de-500-000-euros/,Levée de fonds : 500 000 €,"Fondateurs : Valentin Cordier, Victor Hoernle et Anaïs Roesch",,https://www.siello.co/?utm_source=JaimeLesStartups,https://www.siello.co/?utm_source=JaimeLesStartups,True,https://www.linkedin.com/company/siello,https://www.facebook.com/app.siello,https://www.instagram.com/siello.co/,[],[],[],LA STARTUP IMMO SIELLO FÊTE SON 1ER ANNIVERSAIRE ET SA LEVÉE DE 500 000 EUROS
YeldaAI,500000,17/07/2024,https://www.jaimelesstartups.fr/yeldaai-callbots-voicebots-chatbots-relation-client/,Levée de fonds : 500000,Fondateurs : Antoine Sandrin,Nombre d'employés : 20,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=YeldaAI,https://www.yelda.fr/?utm_source=JaimeLesStartups,True,https://fr.linkedin.com/company/yeldaai,https://www.facebook.com/yeldaai/,,[],[],[],LA STARTUP YELDAI A CONÇU UNE IA POUR AUTOMATISER / FACILITER LA RELATION CLIENT !
"May, l’appli pour futurs/jeunes parents, annonce une levée de 7 millions €",7 000 000 €,17/09/2024,https://www.jaimelesstartups.fr/news/may-lappli-pour-futurs-jeunes-parents-annonce-une-levee-de-7-millions-e/,Levée de fonds : 7 000 000 €,"Fondateurs : Cécilia Creuzet, Antoine Creuzet et Adrien Brunet",Nombre d'employés : 25 salariés et 80 professionnels de santé,https://www.may.app/?utm_source=JaimeLesStartups,https://www.may.app/?utm_source=JaimeLesStartups,True,https://www.linkedin.com/company/may-sante/,,https://www.instagram.com/may.app,"['WhatsApp: +1239876543', '123-456-7890', 'Fax: 987-654-3210', 'WhatsApp: 9876543210', '+1234567890', 'WhatsApp: 555-123-4567']",['legal@intercom.io'],"['123 Main Street, City, Country']",L’APPLICATION SANTÉ MAY LÈVE 7 MILLIONS D'EUROS POUR SE LANCER SUR LE MARCHÉ EUROPÉEN
Buildots choisit par GCC pour introduire l’IA dans la gestion de chantier,115 000 000,18/07/2024,https://www.jaimelesstartups.fr/news/buildots-choisit-par-gcc-pour-introduire-lia-dans-la-gestion-de-chantier/,Levée de fonds : 115 000 000,"Fondateurs : Aviv Leibovici, Roy Danon, Yakir Sudry",,https://buildots.com/fr/?utm_source=JaimeLesStartups,https://buildots.com/fr/?utm_source=JaimeLesStartups,True,https://www.linkedin.com/company/buildots/,,,[],[],[],GCC ET BUILDOTS : QUAND L'IA AMÉLIORE LA GESTION DE CHANTIERS
Merci Prosper,1 million d'euros,25/07/2024,https://www.jaimelesstartups.fr/merci-prosper-fonciere-viager-senior/,Levée de fonds : 1 million d'euros,"Fondateurs : Thibault Corvaisier, Anthony Piquet, Victor Perrazi",Nombre d'employés : 10,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Merci%20Prosper,https://www.merciprosper.com/?utm_source=JaimeLesStartups,True,https://www.linkedin.com/company/merci-prosper/,,,"['01 87 66 37 10', '0187663710']",['contact@merciprosper.com'],"['19 rue des Trois Bornes, 75011 Paris']",LA FONCIÈRE MERCI PROSPER A CRÉÉ UNE NOUVELLE FORME DE VIAGER BASÉ SUR L’INDIVISION DE LA PROPRIÉTÉ D’UN SENIOR.
My Digital Buildings annonce une levée de fonds de 2 millions €,2 millions d'euros,17/09/2024,https://www.jaimelesstartups.fr/news/my-digital-buildings-annonce-une-levee-de-fonds-de-2-millions-e/,Levée de fonds : 2 millions d'euros,"Fondateurs : Emeric MOUROT, Nicolas GERCHENZON et Benjamin MEHAMEDI",Nombre d'employés : 20,https://www.mydigitalbuildings.com/?utm_source=JaimeLesStartups,https://www.mydigitalbuildings.com/?utm_source=JaimeLesStartups,True,https://www.linkedin.com/company/my-digital-buildings/,,https://www.instagram.com/mydigitalbuildings/,"['+33 4 85 69 31 02', '0485693102', '04 85 69 31 02']",['contact@mydigitalbuildings.com'],[],MY DIGITAL BUILDINGS LÈVE 2 MILLIONS D'EUROS POUR ACCÉLÉRER SA CROISSANCE ET SON EXPANSION INTERNATIONALE
"Swaive annonce une levée de fonds de 2,2 millions d’euros","2,2 millions",15/07/2024,https://www.jaimelesstartups.fr/news/swaive-annonce-une-levee-de-fonds-de-22-millions-deuros/,"Levée de fonds : 2,2 millions",Fondateurs : Karen-Laure MREJEN,Nombre d'employés : 5,https://swaive.fr/?utm_source=JaimeLesStartups,https://swaive.fr/?utm_source=JaimeLesStartups,True,https://www.linkedin.com/company/swaive-fintech/,,,[],['contact@swaive.fr'],[],"SWAIVE, PREMIÈRE PLATEFORME DE PLACEMENTS SANS RISQUE, LÈVE 2.2 MILLIONS D'EUROS POUR RÉMUNÉRER L'ARGENT DORMANT DES FRANÇAIS"
