startup_name,startup_amount_invested,startup_article_publication_date,startup_more_inf_url,startup_levée_de_fonds,startup_founders,startup_Number_of_employees,startup_web_site_url,startup_right_web_site_url,startup_valid_web_site_url,startup_linkedin_url,startup_facebook_url,startup_instagram_url,startup_phone,startup_email,startup_address,startup_phrasechoc
Convelio,9 100 000 €,05/02/2020,https://www.jaimelesstartups.fr/news/convelio-levee-de-fonds/,Levée de fonds : 9 100 000 €,Fondateurs : Edouard Gouin et Clément Ouizille,,https://convelio.com/fr/accueil/?utm_source=JaimeLesStartups,https://www.convelio.com/fr/accueil/?utm_source=JaimeLesStartups,True,https://www.linkedin.com/company/convelio/about/,https://www.facebook.com/Convelio-756697587853828/,,"['+39 02 8295 5452', ' +39 02 8295 5452', '+1 929 226 0419', '+44 20 3318 8673', '+33 1 76 42 10 05']",['order@convelio.com'],"['27 E 28th St, NY 10016,  New York, United States', 'CONVELIO Unit 7, Skyport Trade Park, Skyport Drive, Harmondsworth, UB7 0LB, United Kingdom', 'CONVELIO - WeWork 198 Avenue de France, 75013, Paris, France']","CONVELIO ANNONCE UNE SECONDE LEVÉE DE FONDS À HAUTEUR DE 9,1 MILLIONS D'EUROS"
"Keypup annonce une levée de fonds d’1,4 million d’euros",1 400 000 euros,29/11/2021,https://www.jaimelesstartups.fr/news/keypup-annonce-une-levee-de-fonds-d14-millions-deuros/,Levée de fonds : 1 400 000 euros,Fondateurs : Stéphane Ibos et Arnaud Lachaume,Nombre d'employés : 2,https://www.keypup.io/?utm_source=JaimeLesStartups,https://www.keypup.io/?utm_source=JaimeLesStartups,True,,,,"['WhatsApp: +1234567890', '123-456-7890', '+123456789012', 'WhatsApp: +123789456123', '456-789-0123', 'Fax: 789-012-3456']",[],"['456 Elm Avenue, Town, Country', '123 Main Street, City, Country', '456 Oak Avenue, Town, Country']","KEYPUP LÈVE 1,4M€ POUR DOTER LES DÉVELOPPEURS INFORMATIQUES D’UN ASSISTANT VIRTUEL INTELLIGENT"
"NaoX Technologies annonce une levée de fonds de 4,3 M€","4,3 millions d'euros",28/01/2022,https://www.jaimelesstartups.fr/news/naox-technologies-annonce-une-levee-de-fonds-de-43-me/,"Levée de fonds : 4,3 millions d'euros",Fondateurs : Hugo Dinh et Michel Le Van Quyen,Nombre d'employés : 7,https://www.naox.tech/?utm_source=JaimeLesStartups,https://www.naox.tech/en?utm_source=JaimeLesStartups,True,https://www.linkedin.com/company/naox-technologies/,,,[],"['contact@naox-technologies.com', 'info@mysite.com']",[],"NAOX TECHNOLOGIES LÈVE 4,3 M€ POUR DÉVELOPPER UN ÉLECTROENCÉPHALOGRAPHE DE NOUVELLE GÉNÉRATION"
"Flitter annonce une levée de 2,5 millions d’euros","2,5M€",02/02/2022,https://www.jaimelesstartups.fr/news/flitter-annonce-une-levee-de-25-millions-deuros/,"Levée de fonds : 2,5M€","Fondateurs : Jeremy Steinberg, Arnaud Dumora, Hajer Gorgi",,https://flitter.fr/?utm_source=JaimeLesStartups,https://flitter.fr/?utm_source=JaimeLesStartups,True,,,,[],"['presse@flitter.fr', 'hello@flitter.fr']","['14 rue Beffroy 92200 Neuilly-sur-Seine', '14 rue Beffroy, 92200 Neuilly-sur-Seine']","FLITTER LÈVE 2,5M€ ET S’ATTAQUE AU MARCHÉ DE L’ASSURANCE AUTO"
Convelio lève 30 millions d’euros pour sa solution de transport d’art,30 millions d'euros,08/03/2022,https://www.jaimelesstartups.fr/news/convelio-leve-30-millions-deuros-pour-sa-solution-de-transport-dart/,Levée de fonds : 30 millions d'euros,Fondateurs : Edouard Gouin et Clément Ouizille,Nombre d'employés : 200,https://www.convelio.com/fr/accueil/?utm_source=JaimeLesStartups,https://www.convelio.com/fr/accueil/?utm_source=JaimeLesStartups,True,https://fr.linkedin.com/company/convelio,https://www.facebook.com/convelio/,,"['123-789-4560', '1234567890', '123-456-7890', '+39 02 8295 5452', '+1237894560', '1237894560', '+1234567890', ' +39 02 8295 5452', '+1 929 226 0419', '+44 20 3318 8673', '+33 1 76 42 10 05']","['order@convelio.com', 'legal@intercom.io']","['456 Elm Avenue, Town, Country', 'CONVELIO Unit 7, Skyport Trade Park, Skyport Drive, Harmondsworth, UB7 0LB, United Kingdom', 'CONVELIO - WeWork 198 Avenue de France, 75013, Paris, France', '123 Main Street, City, Country', '27 E 28th St, NY 10016,  New York, United States']","CONVELIO, SOCIÉTÉ DE TRANSPORT D’OEUVRES D’ART, LÈVE 30 MILLIONS D’EUROS POUR ACCÉLÉRER SON EXPANSION MONDIALE"
Choco,82 500 000,21/07/2021,https://www.jaimelesstartups.fr/news/choco-annonce-une-levee-de-fonds-de-825-me/,Levée de fonds : 82 500 000,Fondateurs : Grégoire Ambroselli,Nombre d'employés : 250,https://www.choco.com/fr/?utm_source=JaimeLesStartups,https://choco.com/us,True,,,,"['WhatsApp: +1234567890', '123-456-7890', '+19295526407', '456-789-0123', 'Fax: 789-012-3456']",['contact@choco.com'],"['314 W. Superior St., Suites 300, Chicago, Illinois 60654', '123 Main Street, City, Country', '456 Elm Street, Town, Country', 'Wrangelstr 100, 10997 Berlin, Germany']","CHOCO LÈVE €82,5 MILLIONS POUR RENDRE LA RESTAURATION PLUS DURABLE"
Ponicode,4 millions de $,07/09/2021,https://www.jaimelesstartups.fr/news/ponicode/,Levée de fonds : 4 millions de $,"Fondateurs : Simon Guilliams, Edmond Aouad, Patrick Joubert, Benedetta Dal Canton",Nombre d'employés : 17,https://www.ponicode.com/?utm_source=JaimeLesStartups,https://circleci.com/,True,https://www.linkedin.com/company/ponicode/,,,"['WhatsApp: +1234567890', '123-456-7890', '789-012-3456', '+112233445566', 'WhatsApp: +112233445566', '456-789-0123', '+123456789', 'Fax: 789-012-3456']",[],"['123 Main Street, City, Country', '456 Oak Avenue, Town, Country', '456 Elm Street, City, Country']","POUR SES DEUX ANS, PONICODE MET L’ACCENT SUR L’INNOVATION MANAGÉRIALE ET CONTINUE À CROÎTRE"
IGRANE COSMETICS,170000,20/01/2022,https://www.jaimelesstartups.fr/igrane-cosmetics-cosmetique-a-base-dhuile-dargan/,Levée de fonds : 170000,Fondateurs : Benoit Said,Nombre d'employés : 4,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=IGRANE%20COSMETICS,https://www.igranecosmetics.com/?utm_source=JaimeLesStartups,True,https://www.linkedin.com/company/igrane-cosmetics,https://www.facebook.com/igranecosmetics,,"['0621128547', '0684501862', '0986739008', '0420407040', '0614216442', '01 34 16 21 99', '0134166562', '0651190606', '02 52 32 95 25']","['spa@versionmaquis.com', 'sarl-esthetica@orange.fr', 'institut-delphines@free.fr', 'ribeirosoaresj@hotmail.fr', 'auxenergiesduwakinyantanka@gmail.com', 'beneartenails@gmail.com', 'sophie.jolivet@hotmail.fr', 'ctall@mygreenbrands.com', 'foratao.concept@gmail.com', 'capucine-et-timea@newage-france.fr', 'lebarbierdesvoyeurs@gmail.com', 'sachetchristine@gmail.com', 'malikarahmi3@gmail.com']","['6 allée Ferrand, NEUILLY SUR SEINE 92200, France', '99 Bd Maurice Berteaux, SANNOIS 95110, France', '10 Rue de Steinkerque, PARIS 75018, France', '11 rue Auguste Renoir, MARGENCY 95580, France', '40 Av. de Normandie, STRASBOURG 67100, France', '25 rue Gabriel Péri, EAUBONNE 95600, France', '51 avenue René Coty, LES SABLES D’OLONNE 85180, France', '10 Bd de la Victoire, Strasbourg 67000, France', 'LIEU DIT BRANCUCCIO, BONIFACIO 20169, France', '10 Rue du Coteau, SARREBOURG 57400, France', '8 rue du chantier, MARSEILLE 13007, France', '104 rue Marcadet, PARIS 75018, France', '38 rue de Grenelle, PARIS 75007, France', '38 rue du Poteau, PARIS 75018, France', ""24 rue d'Aumale, PARIS 75009, France""]",LA STARTUP IGRANE COSMETICS COMMERCIALISE DES COSMÉTIQUES BUIO À BASE D’HUILE D’ARGAN.
padoa annonce une levée de fonds de 80 millions d’euros,80 000 000€,08/02/2022,https://www.jaimelesstartups.fr/news/padoa-annonce-une-levee-de-fonds-de-80-millions-deuros/,Levée de fonds : 80 000 000€,"Fondateurs : Cédric Mathorel, Frédéric de Mesmay,Julie Prévôt-Leygonie, Lionel Cassier, Nicolas Telle",Nombre d'employés : 140,https://www.padoa.fr/?utm_source=JaimeLesStartups,https://www.padoa.fr/?utm_source=JaimeLesStartups,True,https://www.linkedin.com/company/padoa/,,,"['123-456-7891', 'WhatsApp: +9876543210', 'WhatsApp: +123987654', '123-456-7890', '+1234567892', 'Fax: 987-654-3210', '+1234567890', '456-789-0123', 'Fax: 789-012-3456', '123-456-7893']",[],"['456 Oak Avenue, Town, Country', '123 Main Street, City, Country', '456 Elm Street, Town, Country']",PADOA SÉCURISE UN TOUR DE TABLE DE 80 M€ AFIN D’ACCÉLÉRER SA CROISSANCE DANS LA PRÉVENTION ET LA SANTÉ AU TRAVAIL
Pièces de créateurs,100 000,05/12/2022,https://www.jaimelesstartups.fr/pieces-de-createurs-marketplace-de-createur-made-in-france/,Levée de fonds : 100 000,Fondateurs : ACQUAVIVA MÉLODY,,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Pi%C3%A8ces%20de%20cr%C3%A9ateurs,https://www.piecesdecreateurs.com/?utm_source=JaimeLesStartups,True,,,,"['WhatsApp: +9876543210', '123-456-7890', '+1234567890', '456-789-0123', 'Fax: 789-012-3456']",[],"['123 Main Street, City, Country', '456 Oak Avenue, Town, Country']",LA STARTUP PIÈCES DE CRÉATEURS EST UNE MARKETPLACE POUR LES CRÉATEURS DE MODE FRANÇAIS !
